link,name,header_image,genre,developer,release_date,reviews,current_players,peak_today,anti_cheat,metacritic,drm_notes,type_game,notes,safe,status,last_updated,added_at,description,has_paid_dlc,publisher,anti_cheat_note,is_kernel_ac,platforms,languages,language_details,tags
https://store.steampowered.com/app/730/,Counter-Strike 2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/730/header.jpg?t=1749053861,FPS,['Valve'],"22 Aug, 2012",86% (Very Positive),"649,727","763,284",VAC,N/A,None detected,online,Not reviewed yet,y,active,2026-04-03T06:29:44Z,2026-03-12 08:07:18+00:00,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.",False,['Valve'],,,"['Windows', 'Linux']","['English', 'Czech', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Bulgarian', 'Ukrainian', 'Greek', 'Spanish - Latin America', 'Vietnamese', 'Indonesian']","[{'name': 'English', 'interface': True, 'audio': True, 'subtitles': False}, {'name': 'Czech', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Danish', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Dutch', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Finnish', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'French', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'German', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Hungarian', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Italian', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Japanese', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Korean', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Norwegian', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Polish', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Portuguese - Portugal', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Portuguese - Brazil', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Romanian', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Russian', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Simplified Chinese', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Spanish - Spain', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Swedish', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Thai', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Traditional Chinese', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Turkish', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Bulgarian', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Ukrainian', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Greek', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Spanish - Latin America', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Vietnamese', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Indonesian', 'interface': True, 'audio': False, 'subtitles': False}]","['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']"
https://store.steampowered.com/app/3659080/,Unbound,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3659080/83980241cde882382e0e6d8f66c8b44a926a324e/header.jpg?t=1766134821,Platformer,['Primal Crowd'],"Dec 19, 2025",89% (Positive),0,0,,N/A,None detected,offline,Not reviewed yet,?,active,2026-04-03T06:29:45Z,2026-03-12 08:07:19+00:00,"Help Mox break out from his unjust inprisonment. Navigate through a hazardous, futuristic city and outrun your pursuer to reach an off-world colony in this 2D precision-platformer!",False,['Primal Crowd'],,,['Windows'],['English'],"[{'name': 'English', 'interface': True, 'audio': False, 'subtitles': True}]","['Precision Platformer', 'Adventure', 'Difficult', '2D', 'Sci-fi', 'Hand-drawn', 'Side Scroller', 'Dystopian', 'Linear', 'Platformer', 'Free to Play', 'Indie', '2D Platformer', 'Controller', 'Futuristic', 'Singleplayer']"
https://store.steampowered.com/app/4219930/,Encore!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4219930/05c1e5a55e649cf86cb82b93667991ce39c1ef8f/header.jpg?t=1766102098,Rhythm,['Amoriem Labs'],"Dec 18, 2025",100% (1 user reviews),0,0,,N/A,None detected,offline,Not reviewed yet,?,active,2026-04-03T06:29:47Z,2026-03-12 08:07:22+00:00,"Begin your career at the Multiversal Institute for the Rhythmic Arts (MIRA), an interdimensional school where music, magic, and friendship collide.  Encore! is a rhythm game and visual novel hybrid, where you must curate a band from wacky characters to win Battle of the Bands!",False,['Amoriem Labs'],,,"['Windows', 'macOS']",['English'],"[{'name': 'English', 'interface': True, 'audio': False, 'subtitles': False}]","['Choose Your Own Adventure', 'Rhythm', 'Action', 'Casual', 'Visual Novel', '2D', 'Text-Based', 'Funny', 'Narration', 'Nonlinear', 'Cartoony', 'Colorful', 'Hand-drawn', 'Free to Play', 'Indie', 'Stylized', 'Fantasy', 'Sci-fi', 'Futuristic', 'Singleplayer']"
https://store.steampowered.com/app/3728650/,Super-B,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3728650/fe487ccb3fca3b3efb0422638df228afd20c4966/header.jpg?t=1768202717,Battle Royale,['Nimblebites'],"Dec 18, 2025",61% (Mixed),0,3,,N/A,None detected,online,Not reviewed yet,?,active,2026-04-03T06:29:48Z,2026-03-12 08:07:25+00:00,"Super-B is a free-to-play multiplayer game with AAA 3D graphics, where players become toy characters in a brick-built world. It features 12+ game modes at launch, offering fast-paced action and social interaction.",False,['Nimblebites'],,,"['Windows', 'macOS']","['English', 'Korean']","[{'name': 'English', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Korean', 'interface': True, 'audio': False, 'subtitles': True}]","['Early Access', 'Party Game', 'Multiplayer', 'PvP', 'Minigames', 'Action', 'Battle Royale', 'Arena Shooter', 'Team-Based', 'Platformer', 'Character Customization', 'Cute', 'Colorful', 'Combat', 'Funny', 'Third Person', '3D', 'Physics', 'Casual', 'LEGO']"
https://store.steampowered.com/app/4195500/,Escape Game: Camper 2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4195500/03f091bb70181c5b86c5a87d236be2dcf11c5383/header.jpg?t=1766731972,Puzzle,['NEAT ESCAPE'],"Dec 19, 2025",94% (Positive),1,1,,N/A,None detected,offline,Not reviewed yet,?,active,2026-04-03T06:29:50Z,2026-03-12 08:07:28+00:00,"An escape game set inside a camper trailer. Search for items, gather clues, solve puzzles, and find your way out in this short, casual experience.",False,['NEAT ESCAPE'],,,['Windows'],"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']","[{'name': 'English', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'French', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'German', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Spanish - Spain', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Portuguese - Brazil', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Russian', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Simplified Chinese', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Traditional Chinese', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Japanese', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Korean', 'interface': True, 'audio': False, 'subtitles': True}]","['Casual', 'Puzzle', 'Point &amp; Click', 'Adventure', 'Singleplayer', 'Relaxing', 'Realistic', 'Free to Play', 'Indie', 'Multiple Endings', '2D']"
https://store.steampowered.com/app/1589400/,The Dead Roam Free - Episode 1,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1589400/abb0b67a2187fb0b545f8589403535fb1debf1fe/header.jpg?t=1773413683,Action,['Five Finger Entertainment'],"Mar 13, 2026",100% (2 user reviews),0,0,,N/A,None detected,offline,Not reviewed yet,?,active,2026-04-03T06:29:51Z,2026-03-12 08:07:31+00:00,"Follow Bob Segatti — private eye, local fixer, and newly turned zombie — in his biggest case yet. A film-noir tale of treachery, revenge, and pixel-splattered mayhem. It’s Snake with guns, dames, and a whole lot of brains to eat.",False,['Five Finger Entertainment'],,,"['Windows', 'macOS', 'Linux']",['English'],"[{'name': 'English', 'interface': True, 'audio': True, 'subtitles': True}]","['Precision Platformer', 'Puzzle Platformer', 'Puzzle', 'Arcade', 'Action', 'Action-Adventure', '2D', 'Top-Down', 'Funny', 'Horror', 'Noir', 'Linear', 'Gore', 'Casual', 'Colorful', 'Free to Play', 'Indie', 'Pixel Graphics', 'Sci-fi', 'Zombies']"
https://store.steampowered.com/app/3686730/,涩涩发抖,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3686730/43f0963848025cd38af90f2190617ca445745d1a/header.jpg?t=1766143065,Horror,['h.n'],"Dec 19, 2025",85% (Positive),0,0,,N/A,None detected,offline,Not reviewed yet,?,active,2026-04-03T06:29:53Z,2026-03-12 08:07:35+00:00,"A horror puzzle exploration game After breaking the lipstick, your wife began to beat you up Explore the house, collect props, avoid the wife who is in a strange state, and finally escape from this white nightmare",True,['h.n'],,,['Windows'],"['English', 'Simplified Chinese', 'Italian', 'Japanese']","[{'name': 'English', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Simplified Chinese', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Italian', 'interface': True, 'audio': False, 'subtitles': False}, {'name': 'Japanese', 'interface': True, 'audio': False, 'subtitles': False}]","['Exploration', 'Puzzle', 'Roguelike', 'Multiple Endings', 'Anime', 'Stealth', 'Indie', 'Survival Horror', 'Free to Play', 'Singleplayer']"
https://store.steampowered.com/app/3513350/,Wuthering Waves,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3513350/def229d7f1bf39fab1ccf752b49654017e13ef53/header.jpg?t=1774412683,"Action RPG, Gacha",['KURO GAMES'],"28 Apr, 2025",90% (Very Positive),"6,111","7,557",EAC,N/A,None detected,online,"Beautiful anime open-world game, but feels hollow after you’ve explored it all",y,active,2026-04-03T06:29:55Z,2026-03-12 08:07:38+00:00,"Wuthering Waves is a story-rich open-world action RPG with a high degree of freedom. You wake from your slumber as Rover, joined by a vibrant cast of Resonators on a journey to reclaim your lost memories and change the world.",False,['KURO GAMES'],,,['Windows'],"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Thai']","[{'name': 'English', 'interface': True, 'audio': True, 'subtitles': True}, {'name': 'French', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'German', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Spanish - Spain', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Japanese', 'interface': True, 'audio': True, 'subtitles': True}, {'name': 'Simplified Chinese', 'interface': True, 'audio': True, 'subtitles': True}, {'name': 'Traditional Chinese', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Korean', 'interface': True, 'audio': True, 'subtitles': True}, {'name': 'Thai', 'interface': True, 'audio': False, 'subtitles': True}]","['Open World', 'Anime', 'Free to Play', 'Action', 'Adventure', 'RPG', 'Story Rich', 'Combat', 'Exploration', '3D', 'Souls-like', 'Third Person', 'Singleplayer', 'Post-apocalyptic', 'Co-op', 'Multiplayer', 'Great Soundtrack', 'Hack and Slash', 'Gambling', 'Action Roguelike']"
https://store.steampowered.com/app/3767300/,異ノ故リ-Isolated Hours-,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3767300/e676a3538d9ff6c33ac736450677decaa6e5ced6/header.jpg?t=1766454100,Horror,['Byking RooKIES'],"Dec 15, 2025",88% (Very Positive),0,0,,N/A,None detected,offline,"A short horror-game, fretty fun :)",y,active,2026-04-03T06:29:56Z,2026-03-12 08:07:41+00:00,A 3D horror game where your only goal is to finish your work… and survive the night. Unnatural anomalies creep into the office as you complete your tasks. Can you make it to the end of your shift alive.,False,['Byking Inc. '],,,['Windows'],"['English', 'Japanese']","[{'name': 'English', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Japanese', 'interface': True, 'audio': False, 'subtitles': True}]","['Horror', 'Walking Simulator', 'Atmospheric', 'Hidden Object', 'Psychological Horror', 'Immersive', 'Exploration', 'Simulation', 'Singleplayer', 'Physics', 'First-Person', 'Investigation', 'Replay Value', 'Thriller', 'Realistic', 'Multiplayer', 'Abstract', 'Management', 'Free to Play', '3D']"
https://store.steampowered.com/app/4143610/,REAL MOON,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4143610/380705e9ca12d3a6abfcacf8812247a0ff64cc85/header.jpg?t=1766736643,Simulation,['historia Inc.'],"Dec 15, 2025",68% (Mixed),0,0,,N/A,None detected,offline,Not reviewed yet,y,active,2026-04-03T06:29:58Z,2026-03-12 08:07:43+00:00,Explore a precisely recreated lunar surface built from real data and a JAXA-backed simulation.,False,['historia Inc.'],,,['Windows'],"['English', 'Japanese']","[{'name': 'English', 'interface': True, 'audio': False, 'subtitles': True}, {'name': 'Japanese', 'interface': True, 'audio': False, 'subtitles': True}]","['Simulation', 'Space Sim', 'Exploration', 'Third Person', 'Space', 'Open World', 'Singleplayer', 'Adventure', 'Free to Play']"
